Chateau / Entreprise,Website,Email,Confidence,Source,Notes
Domaine Monier-Perréol,https://www.vinsnature.fr/domaine/67-domaine-monier-perreol?srsltid=AfmBOoqWwBXOcDvN5O2mmuoxwKtUdyuV_eFMB_tvFaosKhYyyJK0QcLW,contact@vinsnature.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Emmanuel Darnaud,https://www.cashvin.com/produit/domaine-emmanuel-darnaud-mise-en-bouche/?srsltid=AfmBOoqJrbxT_0DUOdrN3qvwESdu1_i2C6pSrS21pJuga8CnDPgaM2ml,web@cashvin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine François Merlin,https://lescavesduvaletblanchet.com/en/rhone/1366-domaine-francois-merlin-saint-joseph.html,lacavedusenat@duvaletblanchet.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Vincent Paris,http://vin-paris.fr/index.php/liens,contact@vin-paris.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Faury,https://vins-lionel-faury.fr/vignoble/,contact@domaine-faury.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Bernard Faurie,https://www.lapassionduvin.com/rhone/3771-domaine-bernard-faurie,contact@lapassionduvin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine François-Xavier Nicolas,https://francoisxaviernicolas.com/,contact@nicolaspereetfils.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Richard,https://www.domaine-herverichard.com/nos-vins,contact@domaine-herverichard.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Laurent Combier,https://www.vistavin.fr/fr/42_combier-laurent,contact@vistavin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine François Dumas,https://cavedupicvert.fr/rhone/1128-la-vigne-de-jean-2023.html,contact@bicom-studio.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Pierre Gonon,https://millesimes.com/vallee_du_rhone/domaine_pierre_gonon?srsltid=AfmBOoqzEoVU2CyetM9gFSskczJW_aJHHqriRAQs54hvoUBvcakC3tll,david.touneji@millesimes.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Gilles Robin,https://www.gillesrobin.com/notre-domaine/notre-histoire-vignoble-vallee-du-rhone/,domaine@gillesrobin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Duclaux,https://www.coterotie-duclaux.com/,contact@coterotie-duclaux.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Leccia,https://domaineleccia.com/,lisandru@domaineleccia.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Antoine Arena,https://www.wine.com/product/domaine-antoine-arena-vin-de-france-bianco-gentile-2021/1215080,contact@unvelopourlaplanete.fr,LOW,snippet,"From Google snippet, could be third party"
Clos Santini,https://www.domaine-franck-santini-vigneron.com/,domaine.francksantini@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Clos Teddi,https://closteddi.fr/,clos.teddi@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Gentile,https://www.domaine-gentile.com/,domaine.gentile@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Orenga de Gaffory,https://www.orengadegaffory.com/,contact@orengadegaffory.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Giudicelli,https://kermitlynch.com/grower/domaine-giudicelli,contact@kermitlynch.com,REJECTED,constructed,Blocked domain/prefix: contact@kermitlynch.com
Domaine Devichi,https://mlledevichi.com/vignoble/,contact@mlledevichi.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Poli,https://www.ericpolivigneron.fr/,contact@ericpolivigneron.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Yves Leccia,https://www.yves-leccia.fr/vin-aoc-patrimonio/l-histoire,info@yves-leccia.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Lazzarini,https://domainelazzarini.com/,contact@domainelazzarini.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos de Bernardi,https://www.demeter.fr/adherents/e-a-r-l-clos-de-bernardi/,contact@demeter.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Montemagni,https://domaine-montemagni.fr/,scea.montemagni@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Clos Alivu,https://luvinu.fr/produit/clos-alivu-rouge-patrimonio-corse/,contact@luvinu.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Venturi,https://grandcruselections.com/clos-venturi,info@grandcruselections.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Marfisi,https://luvinu.fr/produit/clos-marfisi-blanc/,contact@luvinu.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Comte Abbatucci,https://www.domaine-abbatucci.com/,contact@domaine-abbatucci.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Capitoro,https://www.clos-capitoro.com/,info@clos-capitoro.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Peraldi,https://www.domaineperaldi.com/lesvins,info@domaineperaldi.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos d’Alzeto,https://www.closdalzeto.com/,contact@closdalzeto.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Vaccelli,https://www.vinsdeon.fr/acheter+des+vins+du+domaine+vaccelli+a+grenoble+en+isere+38+selection+exclusive+de+vins+corses+reputes+pour+leur+caractere+unique-z108,annaelle@vinsdeon.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Mosconi,https://www.vinsdecorse.com/fr/domainDetail/59,civ@vinsdecorse.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Ornasca,https://www.closornasca.com/,assistance@leseditionscorses.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine A Peraccia,https://www.villagesdecorse.fr/activite/domaine-a-peraccia-vin-corse-bio-aop-plaine-de-peri-ajaccio-281.htm,contact@villagesdecorse.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Pietrella,https://www.domainedepietrella.fr/nous-contacter,contact@domainedepietrella.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Sant Armettu,https://www.santarmettu.com/en/wines,contact@santarmettu.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Granajolo,https://www.granajolo.fr/,contact@granajolo.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Zuria,https://www.domainezuria.com/,accueil@domainezuria.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Canarelli,https://www.closcanarelli.com/,closcanarelli2a@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine de Tanella,https://www.portovecchio-tourisme.corsica/savoir-faire/domaine-de-tanella/,contact@domaine-tanella.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine de Torraccia,https://www.domaine-de-torraccia.com/,assistance@leseditionscorses.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine de San Gavino,https://www.lhommeduvin.fr/hdv-domaines/domaine-san-gavino/?srsltid=AfmBOooKAIqoXUymR78NJGIvhTkE4ElyqJcMunFot4MB4vO0WG9ohsRf,julien@lhommeduvin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Peretti della Rocca,https://www.deperettidellarocca.com/,contact@domainedeperettidellarocca.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Vecchio,https://www.domainevecchio.com/,vecchio@sfr.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Clos Paoli,https://www.clos-paoli.com/fr/vins-corse/7-nos-vins,contact@clos-paoli.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Saparale,https://www.saparale.com/,contact@saparale.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine San Micheli,https://www.domainesanmicheli.com/,contact@domainesanmicheli.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Fiumicicoli,https://www.domaine-fiumicicoli.com/,contact@fiumicicoli.corsica,MEDIUM,scraped_mailto,"Found on official site, different domain"
Clos Fornelli,https://www.closfornelli.com/,contact@closfornelli.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Pero Longo,https://www.pisteurdecrus.fr/brand/57-domaine-pero-longo,contact@pisteurdecrus.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Renucci,https://domaine-renucci.com/,contact@domaine-renucci.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Culombu,https://www.closculombu.fr/,contact.culombu@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Alzipratu,https://www.domaine-alzipratu.com/,info@artecom.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Clos Landry,https://www.closlandry.com/,marcpaolini@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Maestracci,https://www.domaine-maestracci.com/nos-vins,contact@local.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Castellu di Baricci,https://www.castelludibaricci.com/vins/reserve-perpetuelle-2015-2022/,info@castelludibaricci.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Poggiale,http://vitisud.com/,contact@vitisud.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Clos Venturi,https://jadopteunvin.fr/vins/2626-clos-venturi-le-clos-rouge-2022.html,contact@jadopteunvin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Signadore,https://www.signadore.com/,contact@signadore.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Uvalone,Not Found,Not Found,NOT_FOUND,,
Domaine de Pratavone,https://www.winalist.fr/hosts/2983/domaine-de-pratavone?srsltid=AfmBOoor3aaLUbLnYEyVHhaTchSzxMUzhisF22Ox_RrotXUknUgiv0-g,contact@winalist.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Fior di Lecci,https://www.fiordilecci.fr/,assistance@leseditionscorses.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Vico,https://domainevico.com/,contact@domainevico.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Mavella,Not Found,Not Found,NOT_FOUND,,
Domaine Terra di Catoni,https://www.terradicatoni.com/?srsltid=AfmBOoozckZeTLVu80wjtyPL-3GM5Cs9uZRycX6aIZYUM1IJxooP-r20,contact@terradicatoni.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine U Stiliccionu,https://grandcruselections.com/domaine-u-stiliccionu-new,info@grandcruselections.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Pieretti,https://domainepieretti.fr/,contact@domainepieretti.fr,HIGH,snippet,Email domain matches website domain
Clos Nicrosi,https://www.palazzu-nicrosi.com/en/contact-1,contact@palazzu-nicrosi.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Casabianca,https://a-casabianca.fr/,contact@a-casabianca.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Casanova,https://www.casanovaparis.fr/pages/contact?srsltid=AfmBOortkJUNPE1Zd9gwZNlrMH4GE8-s6qj8NPOm3td6H9BWAuJsI7uM,contact@casanovaparis.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Clos San Quilico,https://www.sanquilico.com/contact/,contact@sanquilico.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Musoleu,http://cavusvinifera.com/fr/190775-Domaine-de-Musoleu-Vin-de-Corse-ros%C3%A9,info@cavusvinifera.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Boccheciampe,https://www.domaine-boccheciampe.fr/,domaine.boccheciampe@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Revelette,https://revelette.fr/,chateaurevelette@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Schoffit,https://aubrindepaille.fr/boutique/domaine-schoffit/?srsltid=AfmBOoozqVyUi8PpkWcA7B6L7LqSOvdEKoIkSCFcMqYSL3XbfT-0TgFl,contact@aubrindepaille.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Kamm & Fils,Not Found,Not Found,NOT_FOUND,,
Domaine Albert Seltz,https://www.albert-seltz.fr/,info@albert-seltz.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Emile Beyer,https://www.emile-beyer.fr/en/en/,info@emile-beyer.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Ginglinger-Fix,https://ginglinger-fix.fr/index.php/contact/,contact@ginglinger-fix.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Stoeffler,https://www.vins-stoeffler.com/actualites/,info@vins-stoeffler.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Sylvie Spielmann,https://sylviespielmann.com/,contact@sylviespielmann.com,HIGH,snippet,Email domain matches website domain
Domaine Fernand Engel,https://www.fernand-engel.fr/,info@fernand-engel.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Charles Frey,https://charles-frey.fr/,contact@charles-frey.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Binner,https://www.alsace-binner.com/,a-la-tienne@alsace-binner.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Hubert Metz,https://boutique.hubertmetz.com/,contact@hubertmetz.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Léon Heitzmann,https://leon-heitzmann.fr/,contact@leon-heitzmann.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Gérard Neumeyer,https://www.gerardneumeyer.fr/,contact@gerardneumeyer.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Seppi Landmann,http://seppi-landmann.fr/nouveau/archivesgastro/vins3b.htm,contact@seppi-landmann.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Laurent Bannwarth,https://bannwarth.fr/,laurent@bannwarth.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Antoine Lienhardt,https://www.domaineantoinelienhardt.com/,antoinelienhardt.domaine@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Yves Amberg,https://www.vins-bio-amberg.fr/,amberg.yves@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Schoenheitz,https://vins-schoenheitz.alsace/,cave@vins-schoenheitz.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Lucien Albrecht,https://fr.lucien-albrecht.com/de/geschichte/,contact@lucien-albrecht.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Fuchs et Fils,Not Found,Not Found,NOT_FOUND,,
Domaine Paul Ginglinger,https://www.paul-ginglinger.fr/?srsltid=AfmBOorXsUYWlUQ5vgG6wr8euqlzRAqQ8711W955i4fbPbTsHBFojI5J,info@paul-ginglinger.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Ernest Burn,https://www.domaine-burn.fr/,contact@domaine-burn.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Lucien Jacob,https://www.jcselectwines.com/wine/wine-product-3-9wkz2-ws35x-l2lpr-nnk78-nw5b4-5pe8x-h8xf9-khmjp-8je8r-6hggl-ht9x2-g9jan-7tk5r-j9hca-r9585-t32ey-krxnw-f2xhd,cheers@jcselectwines.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine J.P. Scharsch,Not Found,Not Found,NOT_FOUND,,
Domaine Müller-Koeberlé,https://www.muller-koeberle.fr/,contact@muller-koeberle.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Bruno Clair,https://www.brunoclair.com/,domaine@brunoclair.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Joseph Roty,https://www.caves-carriere.fr/2160-roty-joseph?srsltid=AfmBOoqAdaOK2i4YmhZVVSVylmoJELE0OfoxWOCfC20x0n5tHjEuGXD7,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Charles Audoin,https://8wines.fr/blog/profil-du-vignoble-domaine-charles-audoin,contact@8wines.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Sylvain Pataille,https://www.skurnik.com/producer/domaine-sylvain-pataille/,info@skurnikwines.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Collette,https://www.viniou.fr/vins/pays/france/91_bourgogne/domaines-et-chateaux/250302_collette,contact@viniou.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Huguenot,https://domainehuguenot.com/,contact@domainehuguenot.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jean Fournier,https://domaine-fournier.com/,contact@domaine-fournier.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Coillot,"https://www.vins-bourgogne.fr/vignerons-savoir-faire/femmes-et-hommes-passionnes/coillot-bernard-pere-et-fils-marsannay-la-cote-21160,2397,9211.html?&args=Y29tcF9pZD0xNDA2JmFjdGlvbj12aWV3RmljaGUmaWQ9VklOQk9VMDAwMDIwMDI3MyZ8",contact@vins-bourgogne.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Régis Bouvier,https://www.rene-lamy.fr/bouvierregis/,contact@rene-lamy.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Joliet,https://domainejoliet.fr/,contact@domainejoliet.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Guy & Yvan Dufouleur,https://www.raincitywines.com/products/domaine-guy-yvan-dufouleur-nuits-saint-georges-aux-saint-julien-2020?srsltid=AfmBOoo0YprU1LCViS21An5uQQJziqydxhP1rdKtNPsmVHyCicsfVFCm,josh@raincitywines.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine du Clos Saint-Louis,https://www.lesbonsplansduvin.com/m/domaine-du-clos-saint-louis/,contact@lesbonsplansduvin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Philippe Naddef,https://www.domaine-naddef.com/en_US/,contact@vinium.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Pierre Naigeon,https://lerouge-auxlevres.fr/brand/168-domaine-pierre-naigeon,contact@lerouge-auxlevres.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Dugat-Py,http://www.dugat-py.fr/,contact@dugat-py.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Duroché,https://mobile.domaine-duroche.com/,contact@domaine-duroche.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Claude Dugat,https://www.mwines.com/Producers/domaine-claude-dugat/,info@mwines.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jean-Marie Fourrier,https://www.bodeboca.fr/bodegas/jean-marie-fourrier?srsltid=AfmBOoqtVBp-QcCHQg0hVtOx-p2IbHfblTCdLPfqvVWpjhyHgPD3L5H2,contact@bodeboca.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Pierre Damoy,https://domaine-pierre-damoy.com/,contact@vins-divins-burgundy.com,LOW,snippet,"From Google snippet, could be third party"
Domaine Trapet Père et Fils,https://www.domaine-trapet.fr/fr/,message@trapet.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Rossignol-Trapet,https://rossignol-trapet.com/nos-vins/,info@rossignol-trapet.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Harmand-Geoffroy,"https://www.vins-bourgogne.fr/vignerons-savoir-faire/femmes-et-hommes-passionnes/harmand-geoffroy-gevrey-chambertin-21220,2397,9211.html?&args=Y29tcF9pZD0xNDA2JmFjdGlvbj12aWV3RmljaGUmaWQ9VklOQk9VMDAwMDIwMDYyOSZ8",contact@vins-bourgogne.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Marc Roy,https://www.skurnik.com/producer/domaine-marc-roy/,info@skurnikwines.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Denis Bachelet,https://www.bbr.com/producer-4959-domaine-denis-bachelet?srsltid=AfmBOoqnxoYtYeEFU7wrK9FPhFkHWn3caaHLO5jPTr0XVVFCvAjCoV6B,press@bbr.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Humbert Frères,"https://www.vins-bourgogne.fr/vignerons-savoir-faire/femmes-et-hommes-passionnes/humbert-freres-gevrey-chambertin-21220,2397,9211.html?&args=Y29tcF9pZD0xNDA2JmFjdGlvbj12aWV3RmljaGUmaWQ9VklOQk9VMDAwMDIwMDY0MSZ8",contact@vins-bourgogne.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Sylvie Esmonin,https://www.caves-carriere.fr/3463-esmonin-sylvie?srsltid=AfmBOorGtW2IA4Q3e8Jb3ORQ-7FvJ51HT7OtS9ODTAOKZmWP88B0V1i9,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Philippe Charlopin,https://www.vistavin.fr/fr/15_charlopin-philippe,contact@vistavin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Henri Rebourseau,https://www.rebourseau.com/,domaine@rebourseau.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine René Leclerc,https://domainereneleclerc.com/,contact@domainereneleclerc.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Christian Serafin,https://winesf.com/products/2006-domaine-christian-serafin-charmes-chambertin-grand-cru?srsltid=AfmBOoo6wiFhYn3BtS7zaTvXVGQ_4OjVMbunzaFl7h95qz0wJyai4CVN,info@winesf.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Geantet-Pansiot,https://johnstonfinewines.com/en/collections/domaine-geantet-pansiot?srsltid=AfmBOoqQ-Vq_6JCMFSaz3FT8xr_-WrZDnARG7kYXeQy8HqspWO0mJTJy,joseph@johnstonfinewines.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Dujac,https://www.dujac.com/,contact@dujac.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine des Lambrays,https://www.lambrays.com/,clos@lambrays.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Hubert Lignier,https://hubert-lignier.com/en,contact@hubert-lignier.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Michel Magnien,https://www.domaine-magnien.com/en/,contact@vinium.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Perrot-Minot,https://www.perrot-minot.com/un-domaine-fr/,Not Found,NOT_FOUND,,
Domaine Lignier-Michelot,https://domainevirgileligniermichelot.fr/,contact@domainevirgileligniermichelot.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Georges Lignier,https://www.lacaveduclosmaillard.fr/vins-rouges.fam-2/domaine-georges-lignier-et-fils.d-246/,info@lacaveduclosmaillard.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Taupenot-Merme,"https://www.vins-bourgogne.fr/vignerons-savoir-faire/femmes-et-hommes-passionnes/taupenot-merme-morey-saint-denis-21220,2397,9211.html?&args=Y29tcF9pZD0xNDA2JmFjdGlvbj12aWV3RmljaGUmaWQ9VklOQk9VMDAwMDIwMTA2NyZ8",contact@vins-bourgogne.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Stéphane Magnien,https://www.domainemagnien.com/,mail@domainemagnien.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Pierre Amiot et Fils,https://amitiewines.com/shop/domaine-pierre-amiot-et-fils-2022-bourgogne-rouge/,jason.berry@amitiewines.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
